Ticker,Positive,Neutral,Negative
AEP,0.047926854,0.94860476,0.0034683452
CEG,0.49557215,0.25476578,0.24966201
DUK,0.015117067,0.6818623,0.30302066
IBDRY,0.004612707,0.9941825,0.0012046715
SO,0.24777617,0.6114596,0.14076427
VST,0.49682993,0.5028485,0.00032156688
SECTOR,0.26808122,0.59983,0.13208891
