Ticker,Positive,Neutral,Negative
BP,0.45569748,0.5440074,0.00029509
COP,0.39575332,0.5252155,0.07903117
CVX,0.2305993,0.67350066,0.09590007
ENB,0.19709383,0.6034322,0.199474
EPD,0.25297698,0.62802213,0.11900084
PBR,0.4927262,0.030900447,0.4763734
SHEL,0.386134,0.6132852,0.0005807614
TTE,0.17750679,0.63634557,0.18614763
WMB,0.3607789,0.59331644,0.045904685
XOM,0.19870415,0.6383333,0.16296253
SECTOR,0.26891565,0.6228118,0.108272575
