Ticker,Positive,Neutral,Negative
DIS,0.2486044,0.52535534,0.22604027
DTEGY,0.16594651,0.56600904,0.26804444
GOOG,0.32367948,0.56691426,0.10940626
META,0.2651312,0.6261761,0.108692646
NFLX,0.17055927,0.6910096,0.13843115
SPOT,0.2374355,0.62322664,0.13933785
T,0.15973319,0.72653735,0.113729484
TCEHY,0.32687443,0.5363991,0.13672648
TMUS,0.15446816,0.7707995,0.07473229
VZ,0.18722995,0.71910393,0.093666136
SECTOR,0.23280485,0.63232553,0.13486955
